year,month,month_num,epi_week,district,cases,deaths,T2M_mean,RH2M_mean,PRECTOTCORR_sum,WS10M_mean,month_sin,month_cos,week_sin,week_cos,t1_cases,t2_cases,T2M_lag1,PRECTOTCORR_lag1,PRECTOTCORR_lag2,water_proxy,district_encoded
2016,January,1,3,attock,2,0,11.961428571428572,38.862857142857145,0.0,1.6328571428571428,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,2.0,1.0,12.811428571428571,1.98,8.81,0.0,0.0
2016,January,1,3,bahawalnagar,2,0,13.472857142857142,25.807142857142857,0.0,1.76,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,2.0,2.0,15.11285714285714,0.83,0.0,0.0,1.0
2016,January,1,3,bahawalpur,2,0,13.73857142857143,26.06857142857143,0.0,2.0942857142857143,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,3.0,2.0,15.601428571428572,0.59,0.0,0.0,2.0
2016,January,1,3,bhakkar,1,0,13.172857142857143,26.367142857142856,0.0,1.921428571428572,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,2.0,1.0,14.038571428571428,2.14,0.03,0.0,3.0
2016,January,1,3,chakwal,1,0,10.618571428571428,40.6,0.0,2.607142857142857,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,2.0,1.0,11.989999999999998,4.85,1.47,0.0,4.0
2016,January,1,3,chiniot,2,0,12.817142857142857,28.728571428571428,0.0,1.6657142857142857,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,2.0,2.0,14.244285714285713,5.300000000000001,0.0,0.0,5.0
2016,January,1,3,d.g. khan,2,0,13.985714285714286,21.35,0.0,2.5814285714285714,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,2.0,2.0,15.56142857142857,1.04,0.0,0.0,6.0
2016,January,1,3,faisalabad,5,0,12.817142857142857,28.728571428571428,0.0,1.6657142857142857,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,5.0,4.0,14.244285714285713,5.300000000000001,0.0,0.0,7.0
2016,January,1,3,gujranwala,4,0,12.022857142857143,33.23285714285714,0.0,2.11,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,4.0,3.0,13.965714285714286,6.15,0.41,0.0,8.0
2016,January,1,3,gujrat,2,0,12.597142857142858,32.54142857142857,0.0,1.985714285714285,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,3.0,2.0,14.394285714285711,4.21,2.31,0.0,9.0
2016,January,1,3,hafizabad,2,0,12.088571428571427,32.752857142857145,0.0,2.171428571428572,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,2.0,2.0,14.07,6.36,0.09,0.0,10.0
2016,January,1,3,jhang,3,0,13.025714285714288,28.071428571428573,0.0,1.6057142857142856,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,3.0,2.0,14.381428571428572,4.94,0.0,0.0,11.0
2016,January,1,3,jhelum,2,0,12.478571428571428,37.07857142857143,0.0,2.337142857142857,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,2.0,1.0,13.854285714285714,3.6,4.04,0.0,12.0
